Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
57942,26.4134,85.2513,34,86,40,81,false,43497
62651,24.4164,84.2503,22,83,32,78,false,43497
65404,27.0711,86.7077,28,86,36,83,false,43497
57617,27.4024,86.2883,33,85,38,83,false,43497
60586,25.6086,88.1832,28,89,38,89,false,43497
58185,26.7127,85.7177,26,86,41,85,false,43497
64093,23.8509,84.9700,30,86,33,82,false,43497
58760,27.0931,86.9399,29,85,31,82,false,43497
60378,27.6046,88.2252,30,86,31,85,false,43497
62131,26.5275,87.1572,32,87,31,85,false,43497
62957,27.9069,86.7057,29,85,36,82,false,43497
58459,27.3954,87.5666,30,88,40,83,false,43497
62945,27.3614,86.1331,27,83,39,84,false,43497
60396,26.0761,87.7487,33,88,44,92,false,43497
60762,23.5896,86.4104,29,89,32,87,false,43497
59044,27.8949,87.2182,28,89,45,87,false,43497
62578,22.0861,85.4014,25,85,30,81,false,43497
65021,28.3784,86.3253,34,85,44,85,false,43497
59203,26.4054,86.7327,28,86,38,84,false,43497
58836,25.0621,86.7097,24,87,32,86,false,43497
62379,23.1862,83.9650,25,85,32,83,false,43497
55713,28.2543,85.2673,35,86,34,86,false,43497
62974,26.0400,87.3343,27,85,37,86,false,43497
59442,26.1401,87.6306,26,84,34,83,false,43497
59240,27.6807,87.5075,34,86,32,84,false,43497
65527,26.2783,87.4765,20,83,34,85,false,43497
62469,26.0631,86.0861,27,87,41,88,false,43497
60863,22.4905,84.5776,22,86,29,83,false,43497
60174,29.7437,87.5025,31,87,39,86,false,43497
57862,30.2212,88.2603,32,88,43,88,false,43497
57519,27.9530,87.6997,29,85,36,84,false,43497
57101,27.9119,86.0821,26,84,38,85,false,43497
55854,25.4044,85.5145,24,83,33,83,false,43497
62759,24.6587,86.3063,25,83,25,80,false,43497
57723,24.2883,85.1532,24,82,36,84,false,43497
61106,24.8569,87.8218,29,88,36,85,false,43497
61007,29.5105,87.6486,30,87,38,84,false,43497
61419,26.2673,86.4244,28,88,30,84,false,43497
60141,26.4725,87.8589,25,88,36,84,false,43497
64417,24.4244,84.7778,26,84,32,82,false,43497
