Objective,SimAvgEdges,SimAvgNodes,SimBest1000Edges,SimBest1000Nodes,SimBestKnownEdges,SimBestKnownNodes,IsBestOf1000,BestKnownObjective
85816,30.1582,91.4064,36,92,41,92,false,69107
86506,27.5185,89.7237,30,90,37,90,false,69107
87043,29.3514,92.1441,30,93,33,90,false,69107
89521,29.3293,89.4044,32,93,40,89,false,69107
82426,29.6807,89.8979,32,92,38,88,false,69107
82358,30.5836,88.9520,34,91,47,94,false,69107
82215,29.6006,92.2653,32,92,36,91,false,69107
84857,28.8629,91.4615,30,93,44,90,false,69107
84690,29.4525,90.8228,32,91,48,88,false,69107
87199,27.0741,91.1061,30,93,38,91,false,69107
81889,32.5886,90.9930,37,90,45,90,false,69107
84527,32.3634,91.5285,38,91,45,90,false,69107
84859,31.9680,90.8579,35,92,42,90,false,69107
86223,26.0851,89.4685,27,91,33,88,false,69107
86576,25.2583,90.2683,23,89,31,88,false,69107
86417,27.1842,91.1101,32,93,36,89,false,69107
82155,27.8248,91.2873,32,93,42,93,false,69107
87131,25.9610,90.6466,31,91,33,88,false,69107
87079,27.5045,90.2803,30,93,35,92,false,69107
85927,31.2973,90.4595,41,92,41,88,false,69107
87230,31.9379,91.1662,37,92,45,93,false,69107
92653,28.4434,90.9489,34,92,33,89,false,69107
82877,30.8248,89.8909,45,92,42,90,false,69107
83991,27.3093,89.7227,32,91,33,90,false,69107
92540,23.8729,88.2803,26,89,32,87,false,69107
87606,31.7858,91.8468,35,93,41,89,false,69107
88740,25.7437,89.5355,33,92,36,90,false,69107
84278,30.2813,90.3133,39,91,38,87,false,69107
86911,30.3233,91.7848,30,93,40,90,false,69107
84938,30.7467,91.7127,40,95,46,92,false,69107
85888,29.4054,91.2723,36,94,39,92,false,69107
82483,29.7107,90.8909,34,91,44,91,false,69107
85152,30.4525,91.3564,38,92,35,88,false,69107
89854,24.7788,92.0440,31,92,36,92,false,69107
86925,27.0300,90.9920,29,92,38,91,false,69107
90055,25.1822,89.6106,31,90,27,89,false,69107
85821,29.1491,91.1331,29,90,37,89,false,69107
91484,28.2833,90.8749,32,92,38,89,false,69107
86429,27.1692,90.1892,34,92,38,92,false,69107
77306,33.9219,91.4595,100,100,54,94,true,69107
87973,28.3624,90.6667,35,92,45,94,false,69107
89133,32.3113,91.7337,42,91,46,91,false,69107
85407,30.5305,91.6496,37,94,44,93,false,69107
85563,26.6316,89.9059,35,91,33,91,false,69107
87196,26.8889,91.1031,33,90,38,91,false,69107
83123,28.9469,91.3924,31,92,37,90,false,69107
89429,26.4915,90.7728,33,92,33,90,false,69107
87542,29.2763,90.1171,31,91,35,89,false,69107
90426,24.5385,91.5425,28,93,29,90,false,69107
84231,31.3734,91.3824,39,95,42,95,false,69107
88618,30.8358,91.6927,39,93,42,91,false,69107
89707,25.5115,90.7237,32,90,32,90,false,69107
86292,26.7868,89.3113,33,89,33,89,false,69107
85608,27.6727,89.3153,31,90,38,88,false,69107
86977,29.9009,90.7718,31,89,38,89,false,69107
85277,28.5055,90.0921,28,91,43,92,false,69107
78304,33.2032,90.9920,42,91,47,93,false,69107
92743,25.1712,92.4494,29,93,36,91,false,69107
79715,32.7007,90.4645,41,91,43,89,false,69107
86950,28.9850,91.3383,37,94,38,89,false,69107
88469,27.7978,91.7928,39,92,42,92,false,69107
84371,31.4805,89.9139,38,90,44,86,false,69107
85958,28.0891,91.3463,26,91,33,89,false,69107
90017,26.5726,90.0490,34,90,37,87,false,69107
92315,29.0430,90.5816,33,93,38,88,false,69107
83979,29.0050,91.0561,38,92,38,89,false,69107
85249,25.8999,92.4635,37,95,37,93,false,69107
81488,30.8378,89.5495,35,91,43,92,false,69107
83498,31.0140,90.6356,34,91,36,89,false,69107
85034,29.9690,90.4194,37,93,39,92,false,69107
83623,30.6637,90.1782,39,91,46,89,false,69107
80914,28.8238,89.6386,33,91,43,91,false,69107
83980,29.3123,90.9620,39,91,38,89,false,69107
87005,29.5806,91.1061,29,92,39,91,false,69107
92999,29.8689,92.1822,35,93,35,91,false,69107
93274,28.5435,89.6557,29,89,39,86,false,69107
86187,28.6907,91.6917,36,92,40,90,false,69107
90320,27.1512,90.9029,31,91,37,89,false,69107
88330,30.8358,91.0270,33,90,39,90,false,69107
86481,30.4965,91.6046,40,92,40,91,false,69107
86115,29.3964,89.9259,32,90,44,87,false,69107
82999,28.6827,89.9209,38,91,41,88,false,69107
84572,29.4194,90.9550,34,92,39,89,false,69107
88812,27.4444,89.1802,33,91,41,87,false,69107
83936,27.9860,91.4104,32,92,33,89,false,69107
85619,28.1902,91.9750,35,93,40,92,false,69107
86330,29.1181,89.5245,30,92,38,86,false,69107
86488,28.4284,89.7688,25,91,39,91,false,69107
87276,26.9710,91.2282,29,91,34,88,false,69107
89766,28.7227,90.8358,34,90,34,89,false,69107
86086,31.0430,91.2523,40,92,43,90,false,69107
88022,28.6086,91.3053,36,91,35,91,false,69107
87315,28.8569,89.3263,34,90,35,86,false,69107
86357,27.5265,91.5596,27,92,34,91,false,69107
81864,31.2142,90.7377,33,91,40,88,false,69107
85323,29.5966,91.2793,34,92,40,91,false,69107
83384,28.0270,89.8148,32,92,45,93,false,69107
87126,28.3063,91.6917,35,94,39,93,false,69107
88463,28.4294,91.2062,29,91,35,88,false,69107
85395,24.0921,86.8228,27,88,32,89,false,69107
93256,25.4795,90.6507,29,91,33,89,false,69107
80300,32.2252,92.1411,43,96,40,91,false,69107
83844,29.1151,90.8048,33,92,39,91,false,69107
86054,26.5546,89.1992,30,91,37,90,false,69107
89813,28.2182,90.1261,30,90,35,89,false,69107
83637,31.5536,91.8018,35,92,41,90,false,69107
85312,29.3644,90.0961,44,92,41,88,false,69107
89971,30.1261,90.1081,32,90,39,91,false,69107
87413,27.2402,91.4945,31,92,35,90,false,69107
86991,29.1211,91.2633,39,92,44,92,false,69107
84233,29.5906,91.3283,29,91,41,91,false,69107
83584,31.2943,89.9039,35,92,40,87,false,69107
93411,24.1822,89.7217,26,89,29,89,false,69107
83784,26.3143,89.8929,36,91,34,93,false,69107
85584,26.2913,88.2392,33,89,32,86,false,69107
91779,30.1892,91.2282,39,94,41,91,false,69107
83648,30.5616,91.7017,32,91,39,91,false,69107
86174,26.5526,90.5856,34,92,40,89,false,69107
88217,29.7187,90.2262,39,93,41,90,false,69107
84170,30.6697,89.7598,37,90,40,89,false,69107
83435,31.1722,89.4014,33,90,38,91,false,69107
85396,29.2322,91.1031,36,93,40,93,false,69107
87405,28.5155,89.0711,33,87,36,86,false,69107
85572,27.8358,89.6977,31,90,40,88,false,69107
84729,28.1872,90.9590,33,91,35,90,false,69107
84019,29.1952,90.2342,40,91,40,88,false,69107
82042,31.6927,90.5616,45,92,43,88,false,69107
89996,26.4044,91.5646,25,92,34,92,false,69107
88276,28.2492,90.6917,32,93,40,90,false,69107
85997,28.5956,90.5676,30,91,35,88,false,69107
84345,30.7307,89.9530,43,93,43,90,false,69107
87239,27.1001,89.5315,25,89,34,86,false,69107
86410,27.0110,89.7808,32,90,32,85,false,69107
85276,28.7467,88.5125,37,90,42,91,false,69107
83168,30.1802,89.6156,41,91,36,88,false,69107
90139,27.0501,92.0410,26,93,32,91,false,69107
90039,25.9870,89.4505,32,89,33,86,false,69107
84350,28.4775,90.2613,35,91,43,88,false,69107
88417,27.0390,91.2332,32,93,31,90,false,69107
84846,30.0410,89.9640,37,92,40,89,false,69107
82213,28.7467,89.5445,37,92,38,88,false,69107
87723,29.0470,89.8999,32,90,44,91,false,69107
88418,27.3944,91.5115,30,94,31,90,false,69107
87739,28.8358,91.6817,40,92,35,89,false,69107
88881,28.7968,91.2933,31,91,37,89,false,69107
86044,24.7828,87.3864,26,87,38,87,false,69107
87064,29.5425,90.6777,37,91,38,89,false,69107
80115,31.2973,89.2783,32,90,41,90,false,69107
87151,27.4515,90.6496,32,91,41,90,false,69107
86035,29.9269,91.1221,41,92,38,90,false,69107
85726,29.5235,89.3984,35,89,38,90,false,69107
85546,28.8709,90.4995,33,94,49,94,false,69107
89152,26.7758,90.6166,35,92,33,89,false,69107
88023,28.0310,90.7908,33,92,38,90,false,69107
87802,26.5526,90.0521,28,90,37,92,false,69107
82174,30.9740,90.4905,41,92,43,92,false,69107
88354,27.1221,90.2452,35,92,34,89,false,69107
82744,31.8168,92.0000,38,94,46,91,false,69107
85199,29.5816,91.8909,31,92,39,92,false,69107
89252,27.8869,90.2553,32,92,40,92,false,69107
86190,29.0881,91.2883,33,92,37,89,false,69107
84787,29.3283,92.1732,43,95,39,94,false,69107
86064,28.5716,91.6747,37,93,38,91,false,69107
85660,28.9269,90.0080,35,89,39,87,false,69107
88748,26.0220,89.8999,26,90,28,87,false,69107
85807,30.2052,91.0470,37,92,33,89,false,69107
84757,28.3453,90.5626,36,92,41,89,false,69107
86610,28.2082,90.7147,33,94,37,91,false,69107
87420,28.8999,91.3674,35,91,38,90,false,69107
84281,29.1401,91.4505,31,92,35,89,false,69107
84366,27.8238,89.5726,34,92,41,89,false,69107
84448,30.2743,91.4575,35,93,36,89,false,69107
84814,26.3524,89.9760,37,95,38,92,false,69107
82570,32.2683,90.6046,40,91,44,90,false,69107
86993,27.8819,90.3153,32,92,37,92,false,69107
86140,27.6296,89.6667,30,91,39,91,false,69107
